scenario,Image_Tool,Total_Time,Time_Script,Time_Image,Time_Voice,Time_Video,Problem Size,setting,Script
46,DallE3,50.35,3.61,15.33,3.46,7.58,disaster,singing,"In a small town, 17-year-old Alex was practicing for the school choir competition.While rehearsing, he noticed the stage lights flicker, casting strange shadows.Suddenly, the lights went out completely, leaving everyone in darkness.Alex worried, thinking, ""How big is this problem?"""
46,GPTimage,58.82,3.61,20.37,6.64,4.39,disaster,singing,"In a small town, 17-year-old Alex was practicing for the school choir competition.While rehearsing, he noticed the stage lights flicker, casting strange shadows.Suddenly, the lights went out completely, leaving everyone in darkness.Alex worried, thinking, ""How big is this problem?"""
47,DallE3,57.12,5.74,21.08,3.26,8.49,disaster,field trip,"Alice was excited about the field trip to the aquarium with her class.As they explored the exhibits, a fire alarm suddenly went off, causing everyone to panic.Amidst the chaos, Alice realized she got separated from her teacher and friends.Standing in the noisy corridor, she thought to herself, ""How big is this problem?"""
47,GPTimage,66.55,5.74,18.55,6.92,4.68,disaster,field trip,"Alice was excited about the field trip to the aquarium with her class.As they explored the exhibits, a fire alarm suddenly went off, causing everyone to panic.Amidst the chaos, Alice realized she got separated from her teacher and friends.Standing in the noisy corridor, she thought to herself, ""How big is this problem?"""
48,DallE3,58.98,4.45,19.13,3.42,8.88,disaster,basketball,"In a small town gym, 12-year-old Jake was practicing basketball with his team.Suddenly, the gym roof started to creak loudly during their game.Without warning, part of the ceiling collapsed, sending everyone scrambling for safety.As Jake stood outside, shaken but unharmed, he thought, 'How big is this problem?'"
48,GPTimage,68.38,4.45,23.11,7.20,4.67,disaster,basketball,"In a small town gym, 12-year-old Jake was practicing basketball with his team.Suddenly, the gym roof started to creak loudly during their game.Without warning, part of the ceiling collapsed, sending everyone scrambling for safety.As Jake stood outside, shaken but unharmed, he thought, 'How big is this problem?'"
49,DallE3,53.56,4.34,14.39,3.45,8.62,disaster,game,"Alex was playing a soccer game when a loud explosion shook the field.Smoke filled the air, and people started to panic and run for safety.Alex looked around and couldn't find his younger brother who was also playing nearby.Heart pounding, Alex asked himself, ""How big is this problem?"""
49,GPTimage,62.76,4.34,22.76,6.83,4.38,disaster,game,"Alex was playing a soccer game when a loud explosion shook the field.Smoke filled the air, and people started to panic and run for safety.Alex looked around and couldn't find his younger brother who was also playing nearby.Heart pounding, Alex asked himself, ""How big is this problem?"""
50,DallE3,61.81,5.27,20.04,3.53,11.14,disaster,vacation,"Sixteen-year-old Alex sat alone on the bus, staring out at the passing countryside.The family vacation was abruptly ended as news came that a wildfire was spreading near their home.He overheard his parents whispering about how much they could lose if the fire wasn't stopped.As the landscape blurred by, Alex thought to himself, ""How big is this problem?"""
50,GPTimage,71.36,5.27,21.83,6.87,5.29,disaster,vacation,"Sixteen-year-old Alex sat alone on the bus, staring out at the passing countryside.The family vacation was abruptly ended as news came that a wildfire was spreading near their home.He overheard his parents whispering about how much they could lose if the fire wasn't stopped.As the landscape blurred by, Alex thought to himself, ""How big is this problem?"""
