scenario,Image_Tool,Total_Time,Time_Script,Time_Image,Time_Voice,Time_Video,Problem Size,Predicted Problem Size,setting,Script,Video Path
34,GPTimage,62.21,3.92,18.09,6.76,3.98,glitch,bummer,playing video game,"Danny was excited to play his favorite video game after finishing his homework.As he started the game, he noticed that the character was stuck, unable to move properly.Danny tried pressing all the buttons, but nothing seemed to work.With a sigh, he thought to himself, 'How big is this problem?'",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_34_GPTimage.mp4
35,DallE3,64.35,4.22,19.35,7.1,11.9,glitch,bummer,vacation,"Max was excited to go to the beach with his family during their vacation.On the way, Max realized he had forgotten his favorite beach toys at home.His parents reassured him that they could still have fun without them.Max started to feel a little better, but thought to himself, 'How big is this problem?'",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_35_DallE3.mp4
35,GPTimage,74.22,4.22,21.78,11.33,4.7,glitch,bummer,vacation,"Max was excited to go to the beach with his family during their vacation.On the way, Max realized he had forgotten his favorite beach toys at home.His parents reassured him that they could still have fun without them.Max started to feel a little better, but thought to himself, 'How big is this problem?'",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_35_GPTimage.mp4
36,DallE3,62.23,9.75,21.51,3.43,8.14,glitch,bummer,volleyball,"Sofia was playing volleyball with her friends at the school gym.She hit the ball, but it bounced back and hit her backpack, spilling her things everywhere.Her friends laughed a little, but started helping her pick everything up.Sofia wondered aloud, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_36_DallE3.mp4
36,GPTimage,70.58,9.75,19.4,6.95,3.93,glitch,bummer,volleyball,"Sofia was playing volleyball with her friends at the school gym.She hit the ball, but it bounced back and hit her backpack, spilling her things everywhere.Her friends laughed a little, but started helping her pick everything up.Sofia wondered aloud, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_36_GPTimage.mp4
37,DallE3,50.68,4.02,18.02,3.6,7.7,glitch,bummer,vacation,"Tina, a 15-year-old, was excited about her family vacation to the beach.At the airport, she discovered she had forgotten her favorite sunglasses at home.She felt a bit upset as they usually made her feel stylish and confident.Standing there, she wondered, 'How big is this problem?'",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_37_DallE3.mp4
37,GPTimage,59.09,4.02,17.34,7.04,4.05,glitch,bummer,vacation,"Tina, a 15-year-old, was excited about her family vacation to the beach.At the airport, she discovered she had forgotten her favorite sunglasses at home.She felt a bit upset as they usually made her feel stylish and confident.Standing there, she wondered, 'How big is this problem?'",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_37_GPTimage.mp4
38,DallE3,50.33,4.94,14.13,3.73,8.76,glitch,bummer,birthday party,"Emily walked into the birthday party, noticing a beautifully decorated table full of snacks and gifts.She realized she forgot her friend's gift at home and felt a pang of anxiety.The other kids were playing games, unaware of her forgetfulness.Emily wondered to herself, 'How big is this problem?'",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_38_DallE3.mp4
38,GPTimage,58.95,4.94,18.78,7.06,4.29,glitch,bummer,birthday party,"Emily walked into the birthday party, noticing a beautifully decorated table full of snacks and gifts.She realized she forgot her friend's gift at home and felt a pang of anxiety.The other kids were playing games, unaware of her forgetfulness.Emily wondered to herself, 'How big is this problem?'",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_38_GPTimage.mp4
39,DallE3,59.15,4.87,18.13,3.39,12.29,glitch,bummer,vacation,"Emily was excited as her family packed the car for their beach vacation.Upon arrival, she realized she forgot her favorite teddy bear at home.Her mom assured her they could buy a new toy at the seaside store.Emily wondered, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_39_DallE3.mp4
39,GPTimage,68.16,4.87,20.47,6.75,3.9,glitch,bummer,vacation,"Emily was excited as her family packed the car for their beach vacation.Upon arrival, she realized she forgot her favorite teddy bear at home.Her mom assured her they could buy a new toy at the seaside store.Emily wondered, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_39_GPTimage.mp4
40,DallE3,56.11,3.44,19.76,3.51,8.78,glitch,bummer,running,"Liam was ready to win the school race, so he put on his favorite sneakers.As he ran, one of his shoelaces came undone, and he tripped slightly.He quickly regained his balance and continued running, but he was now in last place.Liam thought to himself, 'How big is this problem?'",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_40_DallE3.mp4
40,GPTimage,65.4,3.44,20.62,6.93,4.03,glitch,bummer,running,"Liam was ready to win the school race, so he put on his favorite sneakers.As he ran, one of his shoelaces came undone, and he tripped slightly.He quickly regained his balance and continued running, but he was now in last place.Liam thought to himself, 'How big is this problem?'",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_40_GPTimage.mp4
41,DallE3,58.03,4.48,19.45,3.95,8.2,glitch,glitch,ski,"Emma was excited to ski down the snowy hill at the resort with her friends.As she zipped down the slope, she felt the cold wind on her face and laughed with joy.Suddenly, her ski caught on a small rock, and she wobbled but managed to stop without falling.Emma sighed, thinking to herself, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_41_DallE3.mp4
41,GPTimage,67.07,4.48,21.94,7.58,4.34,glitch,glitch,ski,"Emma was excited to ski down the snowy hill at the resort with her friends.As she zipped down the slope, she felt the cold wind on her face and laughed with joy.Suddenly, her ski caught on a small rock, and she wobbled but managed to stop without falling.Emma sighed, thinking to herself, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_41_GPTimage.mp4
42,DallE3,51.18,6.65,12.89,3.48,8.01,glitch,bummer,dancing,"Emma arrived at the school dance, excited to show off her new dance routine.As the music started, she realized she had forgotten some of her steps.Emma decided to improvise, hoping no one would notice the mistake.She wondered to herself, 'How big is this problem?'",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_42_DallE3.mp4
42,GPTimage,59.29,6.65,20.16,6.63,4.07,glitch,bummer,dancing,"Emma arrived at the school dance, excited to show off her new dance routine.As the music started, she realized she had forgotten some of her steps.Emma decided to improvise, hoping no one would notice the mistake.She wondered to herself, 'How big is this problem?'",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_42_GPTimage.mp4
43,DallE3,55.84,5.04,18.49,3.48,8.49,glitch,bummer,game,"Jamie was excitedly playing his favorite video game in the living room.Suddenly, the game froze, and the screen showed an error message.He tried pressing buttons, but nothing seemed to work.Jamie sighed and thought to himself, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_43_DallE3.mp4
43,GPTimage,64.46,5.04,20.34,7.11,4.09,glitch,bummer,game,"Jamie was excitedly playing his favorite video game in the living room.Suddenly, the game froze, and the screen showed an error message.He tried pressing buttons, but nothing seemed to work.Jamie sighed and thought to himself, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_43_GPTimage.mp4
44,DallE3,53.21,5.65,18.85,3.0,7.79,glitch,bummer,playing video game,"Liam was excited to play his favorite video game after school.Just as he reached a new level, the screen suddenly froze, and the controller stopped working.Frustrated, he tried pressing all the buttons, but nothing happened.He thought to himself, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_44_DallE3.mp4
44,GPTimage,61.61,5.65,17.92,6.3,4.22,glitch,bummer,playing video game,"Liam was excited to play his favorite video game after school.Just as he reached a new level, the screen suddenly froze, and the controller stopped working.Frustrated, he tried pressing all the buttons, but nothing happened.He thought to himself, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_44_GPTimage.mp4
45,DallE3,54.86,4.97,18.92,3.27,7.83,glitch,bummer,game,"Eight-year-old Mia was at home eagerly playing her favorite video game.Just as she was about to defeat the final boss, the screen froze.She rebooted the system, hoping it would work again, but nothing changed.Mia sighed and wondered, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_45_DallE3.mp4
45,GPTimage,63.12,4.97,19.86,6.56,3.98,glitch,bummer,game,"Eight-year-old Mia was at home eagerly playing her favorite video game.Just as she was about to defeat the final boss, the screen froze.She rebooted the system, hoping it would work again, but nothing changed.Mia sighed and wondered, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_45_GPTimage.mp4
46,DallE3,51.58,4.98,14.76,5.04,7.54,glitch,bummer,singing,"Maya is excited to sing her solo at the school talent show.As she starts, her voice unexpectedly cracks, causing her to pause.The audience watches quietly, and Maya feels a bit embarrassed.She thinks to herself, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_46_DallE3.mp4
46,GPTimage,59.69,4.98,19.26,8.42,3.82,glitch,bummer,singing,"Maya is excited to sing her solo at the school talent show.As she starts, her voice unexpectedly cracks, causing her to pause.The audience watches quietly, and Maya feels a bit embarrassed.She thinks to herself, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_46_GPTimage.mp4
47,DallE3,56.92,5.1,18.88,3.49,9.18,glitch,glitch,tennis,"Emily was excited as she arrived at the tennis courts for her afternoon practice.She was ready to try out her new tennis racket, which she had been looking forward to using.But as she unpacked her gear, she realized she had forgotten her water bottle at home.""How big is this problem?"" she wondered, seeing nearby water fountains.",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_47_DallE3.mp4
47,GPTimage,66.77,5.1,20.27,7.68,4.59,glitch,glitch,tennis,"Emily was excited as she arrived at the tennis courts for her afternoon practice.She was ready to try out her new tennis racket, which she had been looking forward to using.But as she unpacked her gear, she realized she had forgotten her water bottle at home.""How big is this problem?"" she wondered, seeing nearby water fountains.",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_47_GPTimage.mp4
48,DallE3,50.13,4.39,14.89,3.68,9.37,glitch,bummer,curling,"Maya was excited for her first curling lesson at the local ice rink.As she carefully slid the stone down the ice, she watched it veer off course and stop short of the target.Her cheeks flushed with embarrassment as her teammates chuckled gently.Maya thought to herself, 'How big is this problem?'",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_48_DallE3.mp4
48,GPTimage,58.73,4.39,17.79,6.93,4.33,glitch,bummer,curling,"Maya was excited for her first curling lesson at the local ice rink.As she carefully slid the stone down the ice, she watched it veer off course and stop short of the target.Her cheeks flushed with embarrassment as her teammates chuckled gently.Maya thought to herself, 'How big is this problem?'",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_48_GPTimage.mp4
49,DallE3,53.68,5.66,18.38,3.31,8.22,glitch,bummer,vacation,"Ella was excited as she packed her suitcase for a family vacation at the beach.Arriving at their hotel, she realized she had forgotten her favorite teddy bear at home.Her mom assured her they could buy a new toy at the beach shop nearby.Ella wondered to herself, 'How big is this problem?'",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_49_DallE3.mp4
49,GPTimage,62.64,5.66,18.11,6.98,4.05,glitch,bummer,vacation,"Ella was excited as she packed her suitcase for a family vacation at the beach.Arriving at their hotel, she realized she had forgotten her favorite teddy bear at home.Her mom assured her they could buy a new toy at the beach shop nearby.Ella wondered to herself, 'How big is this problem?'",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_49_GPTimage.mp4
50,DallE3,56.33,5.76,17.5,3.51,9.52,glitch,bummer,birthday party,"Emma walked into her birthday party, looking forward to seeing all her friends.As she glanced around, she noticed that her favorite cake flavor was missing from the dessert table.Her friends were playing games and having fun, but she couldn't stop thinking about the missing cake.Emma asked herself, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_50_DallE3.mp4
50,GPTimage,65.35,5.76,20.05,7.01,4.52,glitch,bummer,birthday party,"Emma walked into her birthday party, looking forward to seeing all her friends.As she glanced around, she noticed that her favorite cake flavor was missing from the dessert table.Her friends were playing games and having fun, but she couldn't stop thinking about the missing cake.Emma asked herself, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_50_GPTimage.mp4
